"filename", "language", "PHP", "XML", "YAML", "CSS", "JavaScript", "JSON with Comments", "Markdown", "JSON", "SCSS", "comment", "blank", "total"
"c:\xampp\htdocs\sistema-venta\config\broadcasting.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 0, 0, 23, 13, 71
"c:\xampp\htdocs\sistema-venta\config\cache.php", "PHP", 58, 0, 0, 0, 0, 0, 0, 0, 0, 34, 19, 111
"c:\xampp\htdocs\sistema-venta\config\cors.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 12, 12, 35
"c:\xampp\htdocs\sistema-venta\config\database.php", "PHP", 83, 0, 0, 0, 0, 0, 0, 0, 0, 47, 22, 152
"c:\xampp\htdocs\sistema-venta\config\filesystems.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 0, 32, 13, 77
"c:\xampp\htdocs\sistema-venta\config\hashing.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 32, 9, 53
"c:\xampp\htdocs\sistema-venta\config\logging.php", "PHP", 70, 0, 0, 0, 0, 0, 0, 0, 0, 34, 19, 123
"c:\xampp\htdocs\sistema-venta\config\mail.php", "PHP", 53, 0, 0, 0, 0, 0, 0, 0, 0, 53, 19, 125
"c:\xampp\htdocs\sistema-venta\config\queue.php", "PHP", 47, 0, 0, 0, 0, 0, 0, 0, 0, 32, 15, 94
"c:\xampp\htdocs\sistema-venta\config\sanctum.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 41, 12, 68
"c:\xampp\htdocs\sistema-venta\config\services.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 35
"c:\xampp\htdocs\sistema-venta\config\session.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 147, 33, 202
"c:\xampp\htdocs\sistema-venta\config\view.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 20, 7, 37
"c:\xampp\htdocs\sistema-venta\database\factories\UserFactory.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 0, 13, 5, 41
"c:\xampp\htdocs\sistema-venta\database\migrations\2014_10_12_000000_create_users_table.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 33
"c:\xampp\htdocs\sistema-venta\database\migrations\2014_10_12_100000_create_password_reset_tokens_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\sistema-venta\database\migrations\2014_10_12_100000_create_password_resets_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 33
"c:\xampp\htdocs\sistema-venta\database\migrations\2019_08_19_000000_create_failed_jobs_table.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 33
"c:\xampp\htdocs\sistema-venta\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 34
"c:\xampp\htdocs\sistema-venta\database\migrations\2024_06_21_152120_create_empleados_table.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 35
"c:\xampp\htdocs\sistema-venta\database\migrations\2024_06_21_204711_create_clientes_table.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 36
